0.049751,0.013793,0.014989,0.012596,0.012596,0.011400,0.011400,0.041305,0.014989,0.011400,0.014989,0.016185,0.080778,0.022166,0.011400,0.011400,0.011400,0.013793,0.011400,0.013793,0.011400,0.020970,0.011400,0.018577,0.125818,0.017381,0.082048,0.042501,0.181476,0.026950,0.011400,0.023362,0.011400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033028,0.060631,0.037360,0.034968,0.034968,0.048222,0.039552,0.063676,0.122620,0.033772,0.126856,0.041446,0.211232,0.060433,0.033772,0.059783,0.033772,0.070846,0.043887,0.036164,0.114696,0.043341,0.071344,0.052509,0.078482,0.034955,0.065324,0.046186,0.123937,0.044524,0.015085,0.027047,0.015085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.032652,0.046606,0.073535,0.052224,0.054663,0.065479,0.058028,0.102290,0.139877,0.054687,0.126871,0.074557,0.184082,0.077690,0.117538,0.077040,0.079077,0.090542,0.063583,0.075372,0.131953,0.076451,0.088600,0.112449,0.177809,0.034731,0.161916,0.059850,0.218089,0.044300,0.056798,0.063882,0.028750,0.025016,0.014040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033424,0.047378,0.063372,0.054882,0.057321,0.068137,0.060686,0.092127,0.142534,0.057344,0.129529,0.077214,0.186739,0.080347,0.081734,0.079697,0.081734,0.093199,0.066240,0.078029,0.134611,0.079109,0.091258,0.115106,0.139926,0.051674,0.164573,0.062508,0.220747,0.046958,0.059456,0.066540,0.031407,0.026901,0.015925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033424,0.047378,0.062555,0.054065,0.111873,0.118183,0.111573,0.142173,0.216111,0.164644,0.198063,0.175046,0.242668,0.295152,0.204121,0.217139,0.332647,0.180525,0.226547,0.137320,0.195587,0.218828,0.116924,0.159134,0.171242,0.036571,0.163756,0.061691,0.234215,0.046141,0.058639,0.065723,0.030590,0.026084,0.015108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033845,0.041671,0.057664,0.049175,0.110511,0.252396,0.127530,0.166606,0.364421,0.287416,0.308353,0.163225,0.309473,0.311110,0.308215,0.297503,0.320827,0.250720,0.244199,0.217684,0.209911,0.225878,0.113928,0.156138,0.174373,0.037808,0.164994,0.062928,0.221167,0.047378,0.059876,0.066960,0.031827,0.026901,0.015925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033845,0.044822,0.060396,0.051906,0.139386,0.172815,0.323738,0.246927,0.460105,0.291347,0.372644,0.266703,0.456281,0.457264,0.410921,0.401301,0.487787,0.333990,0.409016,0.290049,0.394167,0.357945,0.196242,0.314991,0.257575,0.335996,0.223688,0.365341,0.374046,0.135831,0.249133,0.132354,0.120683,0.066722,0.192915,0.033912,0.033912,0.053885,0.016462,0.107031,0.022492,0.010524,0.010524,0.010524,0.010524,0.010524,0.000000,0.000000
0.027613,0.041567,0.067245,0.046560,0.120091,0.271760,0.245500,0.461235,0.475953,0.524309,0.553996,0.368649,0.551341,0.555946,0.593925,0.479114,0.776058,0.478638,0.724765,0.606732,0.475585,0.626082,0.400778,0.665883,0.509152,0.405117,0.472030,0.451082,0.643009,0.323789,0.294779,0.309351,0.171877,0.217847,0.159862,0.062144,0.062144,0.076739,0.040123,0.054101,0.033526,0.013104,0.013104,0.013104,0.013104,0.013104,0.000000,0.000000
0.032652,0.055893,0.047790,0.039300,0.082336,0.191735,0.247624,0.343253,0.896855,0.664363,0.697335,0.455004,0.678339,0.787663,0.672727,0.796267,0.921642,0.624915,0.834309,0.673273,0.753111,0.812662,0.541029,0.751001,0.620471,0.610117,0.507416,0.624822,0.629004,0.403009,0.410675,0.343678,0.340258,0.257917,0.347016,0.155164,0.086689,0.131946,0.049659,0.070939,0.050363,0.013104,0.013104,0.013104,0.013104,0.013104,0.000000,0.000000
0.033845,0.047798,0.062600,0.054110,0.134429,0.145763,0.224770,0.474297,0.592138,1.214170,0.960841,0.990560,0.807137,1.103321,1.207198,0.853783,1.436150,0.864210,1.447641,0.968638,0.916895,1.324187,0.762461,1.517048,0.876574,1.027568,0.999411,0.767065,1.077728,0.603593,0.743972,0.499944,0.418240,0.471097,0.451528,0.266547,0.138915,0.204004,0.126566,0.069589,0.033526,0.013104,0.013104,0.013104,0.013104,0.013104,0.000000,0.000000
